event_id,timestamp,repo_type,module_name,change_type,component_type,function_category,lines_changed,files_changed,dependency_depth,shared_component,historical_failure_count,historical_change_frequency,days_since_last_failure,test_coverage_level,tests_impacted,failure_occurred,failure_severity
EVT-BC65CDD8,2024-01-01T02:49:18Z,microservices,OAuthProvider,SERVICE_LOGIC_CHANGE,API,auth,6,1,7,False,2,6,262,medium,5,0,none
EVT-80FEDFA6,2024-01-01T08:28:16Z,monolith,NotificationPrefs,SERVICE_LOGIC_CHANGE,SERVICE,profile,2372,69,7,False,2,8,361,low,10,1,low
EVT-AAF0DAF4,2024-01-01T18:33:59Z,monolith,SubscriptionManager,UI_CHANGE,UI,payment,7,1,3,True,2,8,354,medium,37,0,none
EVT-1B9A75C7,2024-01-01T13:16:44Z,monolith,TransactionProcessor,UI_CHANGE,UI,payment,451,18,4,True,0,8,31,medium,13,1,low
EVT-E2459FB1,2024-01-01T13:00:22Z,microservices,FilterService,SERVICE_LOGIC_CHANGE,SERVICE,search,2177,75,0,False,3,9,321,medium,37,1,low
EVT-5B313F5B,2024-01-01T08:19:34Z,monolith,SharedLibrary,UI_CHANGE,UI,misc,216,3,2,True,5,3,191,low,8,0,none
EVT-49203368,2024-01-01T07:07:09Z,monolith,UserAuthenticator,CONFIG_CHANGE,SERVICE,auth,327,9,8,True,3,2,207,medium,24,0,none
EVT-020E3DFB,2024-01-02T17:15:11Z,monolith,RankingAlgorithm,UI_CHANGE,UI,search,85,1,8,False,3,3,111,medium,8,0,none
EVT-6A0C43DF,2024-01-02T19:35:35Z,monolith,PermissionValidator,API_CHANGE,API,auth,125,3,4,False,5,9,240,high,192,0,none
EVT-28E46761,2024-01-02T10:04:51Z,microservices,SupportService,UI_CHANGE,UI,misc,17,1,7,True,2,3,354,low,4,0,none
EVT-D8A876D5,2024-01-02T09:40:43Z,monolith,FacetProcessor,CONFIG_CHANGE,API,search,36,1,3,False,3,7,147,medium,83,1,medium
EVT-AC4A2B1F,2024-01-02T04:26:40Z,monolith,SupportService,API_CHANGE,API,misc,47,1,6,True,4,3,180,low,1,1,medium
EVT-135336E2,2024-01-02T16:39:00Z,monolith,DashboardService,UI_CHANGE,UI,analytics,10,1,3,True,4,9,161,high,28,0,none
EVT-FADDC643,2024-01-02T21:28:14Z,monolith,OAuthProvider,UI_CHANGE,UI,auth,89,3,5,False,5,7,14,low,13,0,none
EVT-FB6F403D,2024-01-03T10:51:52Z,microservices,PaymentGateway,UI_CHANGE,UI,payment,57,2,2,True,5,9,113,high,46,0,none
EVT-1E2AC47E,2024-01-03T16:10:14Z,monolith,CoreModule,API_CHANGE,API,misc,177,10,4,True,5,10,182,medium,22,0,none
EVT-EEC72E27,2024-01-03T23:17:12Z,microservices,FacetProcessor,API_CHANGE,API,search,170,2,5,False,5,10,345,low,25,1,medium
EVT-F52462F3,2024-01-03T22:47:51Z,microservices,BaseController,UI_CHANGE,UI,misc,96,1,2,True,5,7,260,low,3,0,none
EVT-34CE2683,2024-01-03T06:56:56Z,monolith,CredentialStore,API_CHANGE,API,auth,88,1,2,False,5,3,61,high,50,0,none
EVT-19015975,2024-01-03T13:10:41Z,microservices,TokenManager,API_CHANGE,API,auth,78,1,0,True,5,9,151,high,83,0,none
EVT-21901D51,2024-01-03T03:16:29Z,microservices,LoginHandler,UI_CHANGE,UI,auth,58,1,2,False,5,10,166,medium,130,0,none
EVT-3452B5E3,2024-01-04T13:44:33Z,microservices,TokenManager,SERVICE_LOGIC_CHANGE,API,auth,105,1,0,True,5,4,238,medium,5,0,none
EVT-04A07789,2024-01-04T19:48:12Z,monolith,TrendAnalyzer,CONFIG_CHANGE,SERVICE,analytics,51,1,1,False,5,3,43,medium,26,1,high
EVT-D0B03A98,2024-01-04T11:33:14Z,microservices,SearchEngine,UI_CHANGE,UI,search,5,1,2,False,5,9,106,high,51,0,none
EVT-43EC32F2,2024-01-04T02:33:43Z,monolith,TransactionProcessor,UI_CHANGE,UI,payment,121,1,6,True,14,4,232,medium,32,0,none
EVT-574B67E9,2024-01-04T10:44:06Z,microservices,AccountSettings,API_CHANGE,API,profile,62,1,2,True,15,9,96,high,40,0,none
EVT-75A54E52,2024-01-04T13:02:18Z,monolith,HelperFunctions,SERVICE_LOGIC_CHANGE,SERVICE,misc,67,1,6,True,17,7,136,high,36,0,none
EVT-768C6FB8,2024-01-04T17:10:34Z,microservices,IndexManager,UI_CHANGE,UI,search,44,1,3,False,5,9,317,low,7,1,low
EVT-FB115243,2024-01-05T05:21:46Z,microservices,FeatureFlagService,API_CHANGE,API,admin,325,12,1,False,5,2,137,low,53,0,none
EVT-2231C575,2024-01-05T21:18:10Z,microservices,UtilityService,UI_CHANGE,UI,misc,29,1,2,True,5,10,342,low,17,0,none
EVT-E752E296,2024-01-05T14:47:07Z,monolith,ProfileValidator,API_CHANGE,API,profile,64,1,8,True,5,4,259,low,4,0,none
EVT-B34558A3,2024-01-05T05:42:01Z,monolith,OAuthProvider,API_CHANGE,API,auth,86,2,7,True,5,9,150,high,122,0,none
EVT-15FEB106,2024-01-05T19:36:53Z,microservices,PermissionValidator,UI_CHANGE,UI,auth,272,6,2,True,5,8,290,medium,16,0,none
EVT-DEDA50D2,2024-01-05T21:01:13Z,microservices,DataAggregator,API_CHANGE,API,analytics,85,4,2,False,5,2,119,high,45,1,low
EVT-F3FEA412,2024-01-05T14:36:41Z,monolith,FeatureFlagService,UI_CHANGE,UI,admin,34,1,7,False,5,5,213,medium,74,0,none
EVT-5497899D,2024-01-06T22:01:18Z,microservices,RefundHandler,SERVICE_LOGIC_CHANGE,API,payment,27,1,2,False,5,5,336,high,55,0,none
EVT-24F1444D,2024-01-06T18:45:01Z,microservices,SharedLibrary,UI_CHANGE,UI,misc,60,1,1,True,5,2,226,high,57,0,none
EVT-A4F981E3,2024-01-06T16:05:16Z,microservices,UserManager,SERVICE_LOGIC_CHANGE,SERVICE,admin,40,1,3,False,5,9,351,medium,32,0,none
EVT-7B1A61B0,2024-01-06T04:45:44Z,microservices,LoginHandler,UI_CHANGE,UI,auth,66,1,3,True,5,5,254,medium,17,0,none
EVT-25FC2723,2024-01-06T11:20:31Z,microservices,SubscriptionManager,SERVICE_LOGIC_CHANGE,SERVICE,payment,164,2,5,True,5,2,193,high,363,0,none
